,0,1,2,3,4,5,6,7,8,9,10,11,12,label
18,13.39,1.7699999999999998,2.62,16.1,93.0,2.85,2.94,0.34,1.45,4.8,0.92,3.2199999999999998,1195.0,0
19,12.82,3.37,2.3,19.5,88.0,1.48,0.6600000000000001,0.4,0.97,10.26,0.72,1.75,685.0,2
20,11.65,1.67,2.62,26.0,88.0,1.92,1.61,0.4,1.34,2.6000000000000005,1.36,3.21,562.0,1
21,14.13,4.099999999999999,2.74,24.5,96.0,2.05,0.7599999999999999,0.56,1.35,9.199999999999998,0.61,1.6,560.0,2
22,13.16,2.36,2.67,18.6,101.0,2.8,3.24,0.3,2.81,5.68,1.03,3.17,1185.0,0
23,14.83,1.64,2.17,14.0,97.0,2.8,2.98,0.29,1.98,5.2,1.08,2.85,1045.0,0
24,14.22,1.6999999999999997,2.3,16.3,118.0,3.2,3.0,0.22799999999999998,2.03,6.38,0.94,3.31,970.0,0
25,13.11,1.9,2.75,25.5,116.0,2.2,1.2800000000000002,0.26,1.56,7.1,0.61,1.33,425.0,2
26,13.56,1.71,2.31,16.2,117.0,3.15,3.2900000000000005,0.34,2.34,6.13,0.95,3.38,795.0,0
27,12.79,2.6699999999999995,2.48,22.0,112.0,1.48,1.36,0.24,1.2600000000000002,10.8,0.48,1.47,480.0,2
28,13.62,4.95,2.35,21.1,92.0,2.0,0.7999999999999999,0.47,1.02,4.4,0.9100000000000001,2.05,550.0,2
29,12.81,2.31,2.4,24.0,98.0,1.15,1.0899999999999999,0.27,0.8300000000000001,5.7,0.66,1.36,560.0,2
30,12.34,2.45,2.268,21.0,98.0,2.5600000000000005,2.11,0.34,1.3100000000000003,2.8,0.8,3.38,438.0,1
31,13.45,3.582,2.6,23.0,111.0,1.7,0.9200000000000002,0.43,1.46,10.68,0.8500000000000001,1.56,695.0,2
32,13.68,1.8300000000000003,2.36,17.2,104.0,2.42,2.69,0.42000000000000004,1.97,3.839999999999999,1.23,2.87,990.0,0
33,12.16,1.6099999999999999,2.31,22.799999999999997,90.0,1.7799999999999998,1.69,0.43,1.56,2.45,1.33,2.26,495.0,1
34,13.05,1.6500000000000001,2.55,18.0,98.0,2.45,2.43,0.29,1.44,5.4399999999999995,1.12,2.51,1105.0,0
35,13.72,1.4299999999999997,2.5,16.7,108.0,3.4,3.67,0.306,2.04,6.8,0.89,2.87,1285.0,0
36,12.04,4.3,2.38,22.0,80.0,2.1,1.75,0.42000000000000004,1.35,2.6000000000000005,0.79,2.57,580.0,1
37,13.87,1.9,2.8,19.4,115.0,2.95,2.9699999999999998,0.37,1.76,4.5,1.25,3.4,915.0,0
38,12.42,2.55,2.27,22.0,90.0,1.68,1.84,0.366,1.42,2.7,0.86,3.3,314.99999999999994,1
39,13.5,3.12,2.62,24.0,108.6,1.4,1.57,0.21999999999999997,1.25,8.6,0.59,1.3,499.99999999999994,2
40,12.87,4.61,2.48,21.5,86.0,1.7,0.6499999999999999,0.47,0.86,7.6499999999999995,0.54,1.8599999999999999,625.0,2
41,11.82,1.7200000000000002,1.88,19.5,86.0,2.5,1.6399999999999997,0.346,1.42,2.06,0.94,2.44,415.0,1
42,14.39,1.87,2.45,14.6,105.0,2.5,2.52,0.3,1.98,5.25,1.02,3.58,1290.0,0
43,13.71,1.8600000000000003,2.36,16.6,101.0,2.61,2.592,0.27,1.69,3.8,1.11,4.0,1035.0,0
44,12.29,3.17,2.21,18.0,88.0,2.85,2.99,0.45,2.81,2.3,1.42,2.83,406.0,1
45,13.74,1.67,2.25,16.4,118.0,2.5999999999999996,2.9,0.262,1.62,5.85,0.92,3.2,1060.0,0
46,12.58,1.29,2.1,20.0,103.0,1.7919999999999998,0.58,0.53,1.4,7.6,0.58,1.55,640.0,2
47,13.17,5.19,2.32,22.0,93.0,1.74,0.6299999999999999,0.61,1.55,7.9,0.6,1.48,725.0,2
48,14.38,3.59,2.28,16.0,102.0,3.25,2.88,0.27,2.1900000000000004,4.9,0.946,3.44,1065.0,0
49,14.34,1.6800000000000002,2.7,25.0,98.0,2.8,1.31,0.53,2.7,13.0,0.57,1.96,660.0,2
50,11.62,1.9900000000000002,2.28,18.0,98.0,3.02,2.26,0.16999999999999998,1.35,3.25,1.1600000000000001,2.96,345.0,1
51,12.672,1.36,2.02,16.8,100.0,2.02,1.41,0.53,0.6200000000000001,5.75,0.866,1.59,450.0,1
52,11.03,1.51,2.2,21.5,85.0,2.46,2.17,0.52,2.01,1.9000000000000001,1.71,2.87,407.0,1
53,12.0,3.43,2.0,19.0,87.0,2.0,1.6399999999999997,0.37,1.87,1.28,0.93,3.05,564.0,1
54,13.88,5.04,2.23,20.0,80.0,0.98,0.34,0.4,0.68,4.9,0.58,1.33,415.0,2
55,12.304,4.43,2.73,26.5,102.0,2.2,2.13,0.43,1.71,2.08,0.92,3.12,364.99999999999994,1
56,13.23,3.3,2.384,18.5,98.0,1.7999999999999998,0.8299999999999998,0.438,1.87,10.52,0.56,1.51,675.0,2
57,12.88,2.99,2.4,20.0,104.0,1.516,1.2199999999999998,0.24,0.8300000000000001,5.4,0.74,1.42,530.0,2
58,13.73,1.5,2.7,22.5,101.0,3.0,3.2500000000000004,0.29,2.38,5.7,1.19,2.71,1285.0,0
59,11.56,2.05,3.23,28.5,119.0,3.18,2.3619999999999997,0.47,1.87,6.0,0.93,3.69,464.99999999999994,1
60,12.45,3.03,2.64,27.0,97.0,1.9,0.58,0.63,1.14,7.499999999999999,0.67,1.73,880.0,2
61,11.45,2.4,2.42,20.0,96.0,2.9,2.79,0.32,1.83,3.25,0.8,3.39,625.0,1
62,13.2,1.78,2.14,11.2,100.0,2.6500000000000004,2.76,0.26,1.28,4.38,1.05,3.26,1050.0,0
63,12.72,1.81,2.2,18.8,86.0,2.2,2.53,0.26,1.77,3.9000000000000004,1.1600000000000001,3.2219999999999995,714.0,1
64,14.2,1.7599999999999998,2.45,15.2,112.0,3.27,3.39,0.34,1.97,6.75,1.05,2.85,1450.0,0
65,12.7,3.55,2.36,21.5,106.0,1.7,1.2000000000000002,0.16999999999999998,0.8399999999999999,5.0,0.78,1.98,600.0,2
66,13.58,1.6599999999999997,2.36,19.1,106.0,2.86,3.274,0.21999999999999997,1.95,6.67,1.09,2.88,1515.0,0
67,12.29,2.83,2.22,18.0,88.0,2.45,2.25,0.25,1.99,2.15,1.15,3.3,290.0,1
68,12.0,1.51,2.42,22.0,86.0,1.45,1.25,0.5,1.63,3.6000000000000005,1.05,2.65,450.0,1
69,12.99,1.67,2.6,30.0,139.0,3.3,2.8899999999999997,0.21,1.96,3.3500000000000005,1.31,3.5,985.0,1
70,12.77,3.43,1.98,16.0,80.0,1.63,1.25,0.43,0.8300000000000001,3.4000000000000004,0.7,2.12,372.0,1
71,11.84,0.89,2.58,18.0,94.0,2.2,2.21,0.21999999999999997,2.35,3.05,0.79,3.08,520.0,1
72,13.48,1.81,2.41,20.5,100.0,2.7,2.98,0.26,1.86,5.099999999999999,1.04,3.47,920.0,0
73,12.86,1.3500000000000003,2.32,18.0,122.0,1.51,1.25,0.21,0.94,4.099999999999999,0.76,1.29,630.0,2
74,12.51,1.73,1.98,20.5,85.0,2.2,1.9199999999999997,0.32,1.48,2.9400000000000004,1.04,3.57,672.0,1
75,12.77,2.3899999999999997,2.28,19.5,86.0,1.39,0.51,0.48,0.6399999999999999,7.132,0.57,1.63,470.0,2
76,13.86,1.3500000000000003,2.27,16.0,106.80000000000001,2.98,3.15,0.21999999999999997,1.85,7.219999999999999,1.01,3.55,1045.0,0
77,14.21,4.04,2.44,18.9,111.0,2.85,2.65,0.3,1.25,5.24,0.9560000000000001,3.33,1080.0,0
78,13.05,2.05,3.22,25.0,124.0,2.63,2.68,0.47,1.92,3.58,1.13,3.2,830.0,0
79,14.19,1.5900000000000003,2.48,16.5,108.0,3.3,3.93,0.32,1.86,8.7,1.23,2.8200000000000003,1680.0,0
80,13.36,2.56,2.35,20.0,89.0,1.4,0.4999999999999999,0.37,0.6399999999999999,5.6,0.7,2.47,780.0,2
81,13.83,1.5699999999999998,2.62,20.0,115.0,2.95,3.4,0.4,1.72,6.6,1.13,2.57,1130.0,0
82,12.6,2.46,2.2,18.5,94.0,1.62,0.6600000000000001,0.63,0.94,7.1,0.73,1.58,695.0,2
83,13.82,1.75,2.42,14.0,111.0,3.88,3.74,0.32,1.87,7.05,1.01,3.26,1190.0,0
84,11.79,2.13,2.78,28.5,92.0,2.13,2.24,0.58,1.76,3.0,0.97,2.44,466.0,1
85,12.21,1.19,1.75,16.8,151.0,1.85,1.2800000000000002,0.14,2.5,2.85,1.2800000000000002,3.0700000000000003,718.0,1
86,11.82,1.47,1.99,20.8,86.0,1.98,1.6,0.3,1.53,3.106,0.95,3.33,495.0,1
87,12.37,1.13,2.16,19.0,90.0,3.5,3.1,0.19,1.87,4.45,1.2200000000000002,2.87,420.0,1
88,13.64,3.1,2.56,15.2,116.0,2.7,3.03,0.16999999999999998,1.66,5.099999999999999,0.96,3.36,845.0,0
89,12.37,1.07,2.1,18.5,88.0,3.52,3.75,0.24,1.95,4.5,1.04,2.7700000000000005,660.0,1
90,12.93,2.81,2.402,21.0,96.0,1.718,0.4999999999999999,0.53,0.75,4.6,0.77,2.31,600.0,2
91,13.11,1.01,1.7,15.0,78.0,2.98,3.18,0.26,2.28,5.3,1.12,3.18,502.0,1
92,13.07,1.5,2.428,15.5,98.0,2.4,2.64,0.28,1.37,3.6999999999999993,1.18,2.6899999999999995,1020.0,0
93,14.1,2.02,2.4,18.8,103.0,2.75,2.92,0.32,2.38,6.2,1.07,2.75,1060.0,0
94,13.08,3.9,2.36,21.5,113.0,1.41,1.39,0.34,1.14,9.4,0.57,1.33,550.0,2
95,12.33,1.1,2.28,16.0,101.0,2.05,1.0899999999999999,0.63,0.41,3.2700000000000005,1.25,1.67,680.0,1
96,11.66,1.88,1.92,16.0,97.0,1.61,1.57,0.34,1.15,3.8,1.23,2.14,428.0,1
97,14.06,2.15,2.61,17.6,121.0,2.5999999999999996,2.51,0.31,1.25,5.05,1.06,3.58,1295.0,0
98,13.76,1.5299999999999998,2.7,19.5,132.0,2.95,2.74,0.5,1.35,5.4,1.25,3.072,1235.0,0
99,13.05,5.8,2.13,21.5,86.0,2.62,2.3459999999999996,0.3,2.01,2.6000000000000005,0.73,3.1,380.0,1
100,12.0,0.9199999999999999,2.0,19.0,86.0,2.42,2.26,0.3,1.43,2.5,1.38,3.12,278.0,1
101,13.03,0.8999999999999999,1.71,16.0,86.0,1.95,2.03,0.24,1.46,4.6,1.19,2.48,391.99999999999994,1
102,13.9,1.6800000000000002,2.12,16.0,101.0,3.1,3.39,0.21,2.14,6.1,0.9100000000000001,3.33,985.0,0
103,13.56,1.73,2.46,20.5,116.0,2.96,2.78,0.2,2.45,6.25,0.98,3.03,1120.0,0
104,13.29,1.9700000000000002,2.68,16.8,102.0,3.0,3.23,0.31,1.66,6.0,1.07,2.84,1270.0,0
105,12.43,1.5299999999999998,2.29,21.5,89.80000000000001,2.74,3.15,0.39,1.77,3.9400000000000004,0.69,2.84,352.0,1
106,13.4,3.91,2.48,23.0,102.0,1.7999999999999998,0.75,0.43,1.182,7.300000000000001,0.7,1.56,750.0,2
107,13.77,1.9,2.68,17.1,115.0,3.0,2.79,0.39,1.68,6.3,1.13,2.93,1375.0,0
108,12.4,1.34,1.9,18.5,88.0,1.45,1.36,0.29,1.35,2.45,1.04,2.7700000000000005,562.0,1
109,13.73,4.36,2.26,22.5,88.0,1.2799999999999998,0.47000000000000003,0.52,1.15,6.62,0.78,1.75,635.0,2
110,12.37,1.17,1.92,19.6,78.0,2.11,1.9999999999999998,0.27,1.04,4.68,1.12,3.48,510.0,1
111,12.93,3.8000000000000003,2.65,17.96,102.0,2.41,2.41,0.25,1.624,4.5,1.03,3.52,770.0,0
112,12.25,4.72,2.54,21.0,89.0,1.38,0.47000000000000003,0.53,0.8,3.8499999999999996,0.75,1.27,720.0,2
113,12.29,1.4099999999999997,1.98,16.0,85.0,2.55,2.5,0.29,1.77,2.8999999999999995,1.1640000000000001,2.74,428.0,1
114,13.36,4.6,2.86,25.0,103.4,1.98,0.9599999999999997,0.27,1.11,8.5,0.67,1.92,630.0,2
115,13.75,1.73,2.41,16.0,89.0,2.5999999999999996,2.76,0.29,1.81,5.6,1.15,2.9,1320.0,0
116,11.81,2.12,2.74,21.5,134.0,1.6,0.99,0.14,1.56,2.5,0.95,2.26,625.0,1
117,12.85,3.27,2.58,22.0,106.0,1.65,0.6000000000000001,0.6,0.96,5.58,0.87,2.11,570.0,2
118,13.69,3.26,2.54,20.0,107.0,1.83,0.5599999999999999,0.436,0.8,5.88,0.96,1.82,680.0,2
119,13.49,1.6599999999999997,2.24,24.0,87.0,1.88,1.84,0.27,1.03,3.74,0.98,2.78,626.4,1
120,12.08,1.3899999999999997,2.5,22.5,84.0,2.5600000000000005,2.29,0.43,1.04,2.8999999999999995,0.93,3.19,385.0,1
121,12.96,3.45,2.41,18.5,106.0,1.39,0.6999999999999998,0.4,0.94,5.28,0.68,1.75,675.0,2
122,13.88,1.8899999999999997,2.59,15.0,101.0,3.25,3.56,0.16999999999999998,1.7,5.43,0.8800000000000001,3.56,1095.0,0
123,12.07,2.16,2.17,21.0,85.0,2.5999999999999996,2.65,0.37,1.35,2.76,0.86,3.28,378.0,1
124,13.28,1.64,2.84,15.5,110.0,2.5999999999999996,2.68,0.34,1.36,4.6,1.09,2.78,880.0,0
125,12.51,1.2400000000000002,2.25,17.5,85.0,2.0,0.58,0.6,1.25,5.45,0.75,1.51,650.0,2
126,13.28,1.5200000000000002,2.2,19.0,162.0,2.752,2.27,0.32,3.28,2.6000000000000005,1.1600000000000001,2.63,937.0,1
127,13.58,2.58,2.69,24.5,105.0,1.5500000000000003,0.84,0.39,1.54,8.66,0.74,1.7999999999999998,750.0,2
128,11.46,3.74,1.82,19.5,107.0,3.18,2.58,0.24,3.58,2.8999999999999995,0.75,2.81,453.0,1
129,13.27,4.28,2.26,20.0,120.0,1.59,0.69,0.43,1.35,10.2,0.59,1.516,835.0,2
130,12.08,1.3299999999999998,2.3,23.6,70.0,2.2,1.59,0.42000000000000004,1.38,1.7399999999999998,1.07,3.21,625.0,1
131,14.12,1.48,2.32,16.82,95.0,2.2,2.43,0.26,1.57,5.0,1.17,2.8200000000000003,1280.0,0
132,12.37,1.21,2.56,18.1,98.0,2.42,2.65,0.37,2.08,4.6,0.988,2.3,678.0,1
133,12.72,1.75,2.28,22.5,84.0,1.968,1.76,0.48,1.63,3.3,0.8800000000000001,3.0199999999999996,488.0,1
134,11.87,4.31,2.39,21.0,82.0,2.86,3.03,0.21,2.91,2.8,0.75,3.64,380.0,1
135,13.41,3.8399999999999994,2.12,18.8,90.0,2.45,2.68,0.27,1.48,4.28,0.9100000000000001,3.0,1035.0,0
136,13.63,1.81,2.7,17.2,112.0,2.85,2.922,0.3,1.46,7.300000000000001,1.2800000000000002,2.88,1310.0,0
137,13.24,2.59,2.87,21.0,118.0,2.8,2.69,0.39,1.82,4.32,1.04,2.93,735.0,0
138,13.24,3.9800000000000004,2.29,17.5,103.0,2.64,2.63,0.32,1.66,4.359999999999999,0.8200000000000001,3.0,680.0,0
139,12.84,2.96,2.61,24.0,101.0,2.32,0.5439999999999998,0.53,0.8099999999999999,4.92,0.89,2.15,590.0,2
140,13.34,0.94,2.36,17.0,110.0,2.53,1.2999999999999998,0.55,0.41999999999999993,3.1700000000000004,1.02,1.93,750.0,1
141,14.02,1.6800000000000002,2.21,16.0,96.0,2.6500000000000004,2.33,0.26,1.98,4.699999999999999,1.04,3.59,1035.0,0
